date,value
09/2007,4.2
10/2007,4.3
11/2007,4.4
12/2007,4.3
01/2008,4.2
02/2008,4.0
03/2008,4.1
04/2008,4.3
05/2008,4.3
06/2008,4.2
07/2008,4.2
08/2008,4.0
09/2008,4.3
10/2008,4.3
11/2008,4.5
12/2008,4.6
01/2009,4.9
02/2009,5.3
03/2009,5.7
04/2009,5.5
05/2009,5.8
06/2009,5.9
07/2009,5.7
08/2009,5.7
09/2009,5.7
10/2009,5.6
11/2009,5.6
12/2009,5.5
01/2010,5.3
02/2010,5.3
03/2010,5.4
04/2010,5.5
05/2010,5.2
06/2010,5.1
07/2010,5.3
08/2010,5.0
09/2010,5.1
10/2010,5.3
11/2010,5.1
12/2010,4.9
01/2011,5.0
02/2011,5.0
03/2011,4.9
04/2011,5.0
05/2011,5.0
06/2011,4.9
07/2011,5.1
08/2011,5.3
09/2011,5.2
10/2011,5.2
11/2011,5.2
12/2011,5.2
01/2012,5.0
02/2012,5.2
03/2012,5.2
04/2012,5.0
05/2012,5.2
06/2012,5.2
07/2012,5.2
08/2012,5.1
09/2012,5.5
10/2012,5.4
11/2012,5.3
12/2012,5.4
01/2013,5.4
02/2013,5.4
03/2013,5.6
04/2013,5.6
05/2013,5.6
06/2013,5.7
07/2013,5.6
08/2013,5.8
09/2013,5.7
10/2013,5.8
11/2013,5.8
12/2013,5.9
01/2014,5.9
02/2014,5.9
03/2014,5.9
04/2014,5.8
05/2014,5.9
06/2014,6.0
07/2014,6.2
08/2014,6.1
09/2014,6.2
10/2014,6.4
11/2014,6.3
12/2014,6.1
01/2015,6.3
02/2015,6.1
03/2015,6.1
04/2015,6.1
05/2015,5.9
06/2015,6.0
07/2015,6.3
08/2015,6.1
09/2015,6.2
10/2015,5.9
11/2015,5.9
12/2015,5.7
01/2016,6.0
02/2016,5.7
03/2016,5.6
04/2016,5.6
05/2016,5.7
06/2016,5.7
07/2016,5.7
08/2016,5.6
09/2016,5.6
10/2016,5.6
11/2016,5.8
12/2016,5.8
01/2017,5.7
02/2017,5.8
03/2017,5.8
04/2017,5.6
05/2017,5.5
06/2017,5.6
07/2017,5.6
08/2017,5.5
09/2017,5.5
10/2017,5.4
11/2017,5.4
12/2017,5.6
01/2018,5.5
02/2018,5.6
03/2018,5.5
04/2018,5.5
05/2018,5.4
06/2018,5.3
07/2018,5.3
08/2018,5.3
09/2018,5.0
10/2018,5.0
11/2018,5.1
12/2018,5.0
01/2019,5.0
02/2019,4.9
03/2019,5.1
04/2019,5.2
